Polaris_1,Polaris_2,Polaris_3
1.4335326815509994,1.0,0.9319103796054876
1.3269089883391312,1.0,0.9042598062435756
1.2419728121933147,1.0,0.8613486337374413
1.2080512022358343,1.0,0.8703773623684422
1.221076869626773,1.0,0.8726275652200224
1.2025281051721763,1.0,0.8714261816918353
1.1563430139802893,1.0,0.8904490920053652
1.172333680431086,1.0,0.8979877828298577
1.1542489121718138,1.0,0.8545968109037215
1.080773930357685,1.0,0.9254030520779308
1.243925717140827,1.0,1.3547414123181156
0.9828286993018596,1.0,1.0814202276786917
0.9182309130317802,1.0,1.0101083335399792
0.9129943837159014,1.0,1.0650775362423273
0.9382691718244922,1.0,1.0838512436555858
0.9297740083318935,1.0,1.0402426901255317
0.9443615007056471,1.0,1.0515993229506766
0.9793980211142441,1.0,1.0580397001350759
0.9220508718208072,1.0,1.071437369579799
0.9046302195443735,1.0,1.0713262141950273
0.9841597730727446,1.0,0.936086714777214
0.9348729403375933,1.0,0.8980323681217879
0.9079932422412494,1.0,0.988889774142514
0.8835094489412526,1.0,0.9968751964209684
0.8574067663649239,1.0,1.0089309412666077
0.8643095984685861,1.0,1.023223880380209
0.8619230297159381,1.0,1.0098816277144154
0.8584680142629953,1.0,0.8510146458035196
0.8559891844456248,1.0,0.9583781142485028
0.7630929827621836,1.0,0.920661465335973
0.722385996405133,1.0,0.9569779748372381
0.6826883988728973,1.0,0.9912834812817471
0.6674424798394549,1.0,1.0179041911259712
0.615873465268098,1.0,0.9662336831907918
0.8464106342917219,1.0,1.0421241250194948
0.8524411445350737,1.0,1.0222208812570919
0.9073189557825545,1.0,1.0983811435591764
0.9575084512569505,1.0,1.1323035440896312
0.9364489323202789,1.0,1.1117408700817069
0.9045456096476708,1.0,1.1581786224936563
1.144385325412216,1.0,0.8811928702713715
1.0946686916038522,1.0,0.9469285418622376
1.0609874413686378,1.0,0.9326989353063576
